FY,CollDate,Sample,StationID,WaterbodyName,Location,PH,COND (µs/cm),DO,TEMP,ALKALINITY [mg/L],ARSENIC DIS [ug/L],COPPER DIS [ug/L],CHLORIDE [mg/L],HARDNESS TOT [mg/L],IRON DIS [ug/L],IRON TREC [ug/L],MANGANESE DIS [ug/L],AMMONIA [mg/L],NO5 [mg/L],N-KJELDAHL [mg/L],NITROGEN TOT [mg/L],PHOSPHORUS [mg/L],SELENIUM [ug/L],SULFATE [mg/L],ZINC [ug/L],TSS [mg/L]
FY07,9/11/2006,Routine Sample,11187,East Divide Creek,at 313 Rd near gage,8.59,504,9.41,16.87,,<1,,7,,35,1900,,<0.03,<0.3,0.59,0.62,0.07,2.5,40,,120
FY07,9/11/2006,Routine Sample,11190A,Main Elk Creek,at FR 243,8.35,319,9.75,17.75,,<1,,<2,,<10,<10,,<0.03,<0.3,<0.5,<0.5,<0.01,<1.0,11,,<10
FY07,9/12/2006,Routine Sample,11175,Middle Rifle Creek,above West Rifle Creek,7.97,815,9.68,10.56,,<1,,6,,31,130,,<0.03,<0.3,0.74,0.96,0.01,<1.0,230,,<10
FY07,9/12/2006,Routine Sample,11140,Parachute Creek,below confluences,8.5,721,11.57,14.91,,4,,18,,12,170,,<0.03,1.1,<0.5,1.3,0.02,2.7,100,,<10
FY07,9/12/2006,Routine Sample,11207,Dry Fork,at Cty Rd 222,8.44,2540,9.52,19.11,,4,,21,,24,1100,,<0.03,<0.3,<0.5,<0.5,0.03,2.6,1000,,56
FY07,9/13/2006,Routine Sample,11208,Roan Creek,above Mud Spring Canyon,8.34,772,10.22,8.43,,2,,6,,11,36,,<0.03,<0.3,<0.5,<0.5,<0.01,<1.0,130,,<10
FY07,9/13/2006,Routine Sample,11206,Carr Creek,above Scott Hill Rd.,8.44,711,9.85,10.95,,3,,3,,<10,17,,<0.03,0.43,0.52,0.95,<0.01,1.5,86,,<10
FY07,9/13/2006,Routine Sample,11217,Clear Creek,at Chevron gage,7.8,906,7.39,12.54,,3,,14,,<10,<10,,<0.03,1,<0.5,1.2,<0.01,2.2,130,,<10
FY07,9/13/2006,Routine Sample,11250,Buzzard Creek,at 64.3 Rd,8.5,648,11.87,20.07,,2,,8,,31,96,,<0.03,<0.3,<0.5,<0.5,0.02,<1.0,78,,<10
FY07,9/18/2006,Routine Sample,12372C,Cataract Creek,at outlet of Cataract Creek,8.17,48,10.29,11.27,22,<1,<5,<2,20,180,230,5,<0.03,<0.3,<0.5,<0.5,<0.01,<1.0,4,17,<10
FY07,9/19/2006,Routine Sample,12225,Keyser Creek,near mouth,6.43,920,11.91,2.09,39,<1,<5,<2,37,25,59,<2,<0.03,<0.3,<0.5,<0.5,<0.01,<1.0,6,<10,<10
FY07,9/19/2006,Routine Sample,12230,Williams Fork,at FR 141 at bridge,7.23,890,9.51,9.02,39,<1,<5,<2,27,130,190,5,<0.03,<0.3,<0.5,<0.5,<0.01,<1.0,5,<10,<10
FY07,9/20/2006,Routine Sample,12205,Williams Fork,at Henderson Mine,7.57,74,10,5.39,32,<1,<5,<2,29,270,460,14,<0.03,<0.3,<0.5,<0.5,<0.01,<1.0,4,<10,<10
FY07,9/20/2006,Routine Sample,12180,Meadow Creek,below Meadow Reservoir,7.64,121,9.17,7.24,60,<1,<5,<2,41,420,1400,73,<0.03,<0.3,0.69,0.71,0.02,<1.0,<3,<10,<10
FY07,10/12/2006,Routine Sample,8146G,North Branch to Pass Creek,at Hwy 160,7.25,53,11.4,2.68,15,<1,,4,,,,,,<0.3,<0.5,<0.5,0.03,,4,,
FY07,10/12/2006,Routine Sample,8146F,North Branch to Pass Creek,below Wolf Creek parking lot drainage,7.24,57,11.31,4.56,16,<1,,5,,,,,,<0.3,<0.5,<0.5,0.04,,4,,
FY07,10/12/2006,Routine Sample,8146E,North Branch to Pass Creek,USFS site 1,7.42,62,11.31,5.04,<10,<1,,7,,,,,,<0.3,<0.5,<0.5,0.04,,3,,
FY07,4/30/2007,Routine Sample,7998,South Rush Creek,near Punkin Center,8.1,1080,8.26,16.09,,2,,56,,,,,,<0.3,<0.5,<0.5,0.03,<1.0,220,,<10
FY07,4/30/2007,Routine Sample,7527,Steels Fork,at Cty. Rd 11,8.4,701,8.52,21.91,,5,,41,,,,,,<0.3,0.76,0.76,0.16,1.7,68,,<10
FY07,4/30/2007,Routine Sample,7512,Chico Creek,at Rd. 3,8.13,1559,6.4,22.71,,2,,25,,,,,,<0.3,<0.5,<0.5,0.04,1.5,520,,<10
FY07,5/1/2007,Routine Sample,7283,Red Creek,at Siloam,8.42,698,8.06,14.89,,4,,14,,,,,,3.6,<0.5,4.01,0.34,3.1,94,,302
FY07,5/1/2007,Routine Sample,7284,Rock Creek,at Cty Rd. 200,8.2,1968,8.04,22.24,,<1,,19,,,,,,0.32,<0.5,0.75,<0.01,8.2,1100,,<10
FY07,5/2/2007,Routine Sample,7620,Wahatoya Creek,at Rd 358,8.04,116,9.69,6.54,,<1,,2,,,,,,<0.3,<0.5,<0.5,0.19,<1.0,13,,170
FY07,5/1/2007,Routine Sample,7286A,Peck Creek,at Bronquist,8.71,1305,6.36,17.86,,<1,,17,,,,,,<0.3,<0.5,<0.5,0.04,5,550,,<10
FY07,5/2/2007,Routine Sample,7630,Bear Creek,at 330 Rd.,8.76,1192,7.7,16.52,,<1,,22,,,,,,<0.3,<0.5,<0.5,0.03,<1.0,85,,16
FY07,5/30/2007,Routine Sample,7595,Del Agua Arroyo,at Hwy I-25 Frontage Rd.,8.53,1109,9.82,10.42,,<1,,14,,,,,,<0.3,,<0.5,0.02,3.3,240,,32
FY07,5/30/2007,Routine Sample,7635,Santa Clara Creek,at Hwy I-25,8.3,484,9,12.4,,<1,,3,,,,,,<0.3,,<0.5,0.04,1.7,33,,62
FY07,5/30/2007,Routine Sample,7226,Hardscrabble Creek,at Cty Rd 19,8.29,705,8.64,17.91,,<1,,10,,,,,,<0.3,,<0.5,0.08,2.2,250,,26
FY08,7/16/2007,Routine Sample,10666,Billy Creek,at end of Cty Rd 2,10.2,127,6.84,18.23,70,1,<5,<2,50,110,1300,4,<0.03,,<0.5,,<0.01,<1.0,4,13,56
FY08,7/16/2007,Routine Sample,10672,Deer Creek,at Cty Rd 8A,8.42,161,7.41,16.56,88,<1,<5,<2,70,93,960,7,<0.03,,<0.5,,0.2,<1.0,5,10,56
FY08,7/17/2007,Routine Sample,10567,Potter Creek,at mouth,8.26,866,7.64,28.74,240,<1,<5,15,310,25,40,10,<0.03,,<0.5,,<0.01,<1.0,240,11,<10
FY08,7/17/2007,Routine Sample,10634,Spring Creek,at Spring Canyon Rd.,8.06,542,8.72,18.92,180,2,<5,4,190,75,130,57,<0.03,,0.53,,0.18,<1.0,130,20,<10
FY08,7/18/2007,Routine Sample,10551,Escalante Creek,at Escalante SWA,8.66,357,7.89,26.15,150,16,<5,6,140,13,27,<2,<0.03,,<0.5,,0.01,<1.0,42,<10,<10
FY08,7/18/2007,Routine Sample,10558,Nork Fork Escalante Creek,above mouth,8.61,354,9.16,20.22,200,25,<5,<2,180,58,200,6,<0.03,,1.5,,0.01,<1.0,5,11,<10
FY08,7/18/2007,Routine Sample,10559,Middle Fork Escalante Creek,above confluence with East Fork,8.73,258,8.25,24.05,140,15,<5,<2,120,100,180,4,<0.03,,0.5,,0.01,<1.0,6,<10,10
FY08,7/18/2007,Routine Sample,10618,East Fork Dry Creek,at FR 540,8.02,172,9.89,13.51,88,<1,<5,<2,79,170,200,10,<0.03,,<0.5,,<0.01,<1.0,9,15,<10
FY08,7/19/2007,Routine Sample,10570,Kannah Creek,at Kannah Creek Trailhead,8.09,98,10.57,14.51,54,<1,<5,<2,44,61,180,4,<0.03,,<0.5,,0.04,<1.0,4,14,12
FY08,7/30/2007,Routine Sample,10215,Smith Fork,at USGS gage at FR 712,8.02,147,9.42,22.59,,,,<2,,51,,,,<0.3,,<0.5,0.02,,17,,<10
FY08,7/31/2007,Routine Sample,10266,Mill Creek,at TR 438 off 727 Rd.,broke,broke,broke,broke,,,,<2,,220,,,,<0.3,,<0.5,0.84,,<3,,<10
FY08,8/1/2007,Routine Sample,10262,Beaver Creek,at Gunnison SWA at 762 Rd,7.43,53,9.53,11.63,,,,<2,,180,,,,<0.3,,<0.5,0.07,,<3,,<10
FY08,8/1/2007,Routine Sample,10271A,South Beaver Creek,at powerline service rd.,7.85,167,7.35,22.51,,,,<2,,1200,,,,<0.3,,0.53,0.31,,<3,,<10
FY08,8/2/2007,Routine Sample,10350,Razor Creek,at 45 Rd. Bridge,,377,9.28,13.82,,,,2,,380,,,,<0.3,,0.75,0.38,,20,,10
FY08,8/13/2007,Routine Sample,5773,Bear Creek,at Waconda Park,7.75,103,12.04,16.64,,<1,,3,,,36,,,<0.3,,<0.5,0.02,<1.0,8,<10,<10
FY08,8/13/2007,Routine Sample,5774,Carpenter Creek,at 74 Rd.,7.54,245,8.37,23.12,,<1,,17,,,1500,,,<0.3,,0.66,0.08,<1.0,13,<10,<10
FY08,8/13/2007,Routine Sample,5776A,West Plum Creek,at Haystack Ranch,6.74,158,7.98,15.81,,<1,,9,,,150,,,<0.3,,<0.5,0.02,<1.0,22,<10,<10
FY08,8/14/2007,Routine Sample,5771,Jackson Creek,at Jackson Creek Rd.,7.66,147,11.39,20.73,,<1,,4,,,420,,,<0.3,,<0.5,0.12,<1.0,13,<10,<10
FY08,8/14/2007,Routine Sample,5779B,East Plum Creek,above Emily Griffith School,7.84,105,11.82,15.37,,<1,,<2,,,65,,,<0.3,,<0.5,0.02,<1.0,6,<10,<10
FY08,8/15/2007,Routine Sample,5589,South Boulder Creek,at South Mesa Open Space,7.71,51,10.35,13.33,,<1,,2,,,73,,,<0.3,,<0.5,0.01,<1.0,6,<10,<10
FY08,8/15/2007,Routine Sample,5823,Turkey Creek,above reservoir,8.14,1561,9.19,16.36,,<1,,130,,,97,,,0.48,,0.73,0.02,5.8,650,<10,<10
FY08,8/15/2007,Routine Sample,5757A,Mount Vernon Creek,at Matthews/Winters Park,8.24,1311,9.45,15.51,,<1,,350,,,88,,,1.9,,3.4,0.07,10,21,12,<10
FY08,8/16/2007,Routine Sample,5775,Cook Creek,at 74 Rd.,7.09,172,8.21,18.71,,1,,14,,,2400,,,<0.3,,<0.5,0.08,1.4,5,<10,<10
FY08,8/16/2007,Routine Sample,5772A,Garber Creek,above Bee Rock Rd.,8.19,196,10.66,16.95,,<1,,6,,,370,,,<0.3,,<0.5,0.06,1.3,15,<10,<10
FY08,8/28/2007,Routine Sample,29,St. Vrain Creek,at mouth,8.28,1098,7.81,24.03,,,,54,,26,,,,3.8,,4.7,0.75,,350,,24
FY08,8/27/2007,Routine Sample,5459,Little Thompson River,above Parrish Ranch,7.69,502,6.16,17.84,,,,8,,42,,,,<0.3,,<0.5,0.02,,170,,<10
FY08,8/28/2007,Routine Sample,5366,North Fork Cache La Poudre River,at Road 74E,8.54,386,10.2,21.63,,,,10,,49,,,,<0.3,,0.91,0.01,,10,,<10
FY08,8/28/2007,Routine Sample,5377A,Boxelder Creek,at 15 Rd. NW of Wellington,8.27,240,7.66,20.92,,,,2,,150,,,,<0.3,,0.65,0.05,,62,,15
FY08,8/29/2007,Routine Sample,5395,Buckhorn Creek,below Sheep Creek,8.1,50,8.15,14.96,,,,2,,260,,,,<0.3,,<0.5,0.04,,3,,<10
FY08,8/30/2007,Routine Sample,5208,Crow Creek,at Nagakawa SWA,8.08,1323,5.4,20.59,,,,87,,15,,,,6.6,,7.8,2,,470,,<10
FY08,9/10/2007,Routine Sample,10917,North Fork Mesa Creek,at Cty Rd. 19.5,9,421,9.54,22.01,,3,,37,,,,,,<0.3,,<0.5,0.01,3.5,44,<10,<10
FY08,9/10/2007,Routine Sample,10980,Roc Creek,near mouth abv. Dolores River,7.3,1540,8.77,22.42,,2,,440,,,,,,<0.3,,<0.5,0.21,2.1,67,<10,260
FY08,9/11/2007,Routine Sample,10834,Naturita Creek,at Cty Rd. 1135,8.47,1321,8.45,12.65,,1,,18,,,,,,<0.3,,<0.5,0.05,1.4,590,17,89
FY08,9/11/2007,Routine Sample,10840,Tabeguache Creek,near mouth,8.44,641,7.91,15.36,,2,,17,,,,,,<0.3,,<0.5,0.02,1.7,62,<10,16
FY08,9/11/2007,Routine Sample,10845,Cottonwood Creek,above mouth,8.49,877,9.13,12.38,,<1,,7,,,,,,<0.3,,<0.5,<0.01,<1.0,370,<10,<10
FY08,9/12/2007,Routine Sample,10847,Maverick Draw,at 37.5 Rd.,8.51,1216,7.56,17.15,,2,,25,,,,,,<0.3,,<0.5,0.1,1.8,440,10,51
FY08,9/12/2007,Routine Sample,10906,La Sal Creek,at Hwy 90 and X4 Rd.,8.56,341,8.66,14.93,,2,,3,,,,,,<0.3,,<0.5,0.02,1.6,14,<10,10
FY08,9/12/2007,Routine Sample,10905G,West Paradox Creek,at Cty Rd. U1,8.61,182,8.84,13.76,,1,,<2,,,,,,<0.3,,<0.5,0.02,1.4,8,<10,<10
FY08,9/13/2007,Routine Sample,10922,Ute Creek,at mouth,8.24,0,10.17,9.77,,2,,6,,,,,,<0.3,,0.75,0.16,2.2,6,16,270
FY09,7/14/2008,Routine Sample,12851B,Sage Creek,in canyon on Rd 37,8.38,1019,8.83,15.67,270,<1,<5,9,530,23,,53,<0.03,<0.1,<0.5,<0.5,0.02,<1,320,30,<10
FY09,7/15/2008,Routine Sample,12846,Elkhead Creek,at Rippy property,8.92,166.4,8.76,22.61,80,<1,<5,<2,,57,,4,<0.03,<0.1,<0.5,<0.5,0.02,<1,10,12,<10
FY09,7/15/2008,Routine Sample,12849,First Creek,east of USFS/State boundary,8.11,110.1,11.93,9.42,56,<1,<5,<2,61,110,,23,<0.03,<0.1,<0.5,<0.5,0.05,<1,,<10,<10
FY09,7/15/2008,Routine Sample,12846A,Elkhead Creek,above Rippy property,8.76,165.8,8.88,21.7,76,<1,<5,<2,73,56,,5,<0.03,<0.1,<0.5,<0.5,0.02,<1,10,36,<10
FY09,7/15/2008,Routine Sample,WCOP99-0565,Elkhead Creek,at EMAP site,8.87,190.4,10.89,21.36,84,<1,<5,<2,,180,,13,<0.03,<0.1,<0.5,<0.5,0.01,<1,12,<10,<10
FY09,7/16/2008,Routine Sample,12840,Elkhead Creek,at Highway 40,broke,broke,broke,broke,90,<1,<5,3,,250,,17,<0.03,<0.1,<0.5,<0.5,0.02,<1,32,<10,<10
FY09,7/16/2008,Routine Sample,12843,Elkhead Creek,at County Rd. 76,8.57,340.1,6.9,17.15,130,<1,<5,3,140,64,,8,<0.03,<0.1,<0.5,<0.5,0.02,<1,47,<10,<10
FY09,7/16/2008,Routine Sample,12863,Mad Creek,at Christina SWA,7.53,21.24,8.2,15.47,12,<1,<5,<2,,42,,<2,<0.03,<0.1,<0.5,<0.5,<0.01,<1,<3,<10,<10
FY09,7/16/2008,Routine Sample,12843A,Elkhead Creek,below Elkhead Reservoir,8.36,213.5,8.24,16.74,80,<1,<5,2,,350,,20,0.03,<0.1,<0.5,<0.5,0.03,<1,25,<10,<10
FY09,7/29/2008,Routine Sample,10121,Cement Creek,above campground,8.37,332.8,9.58,8.94,140,<1,<5,<2,190,17,,10,<0.03,<0.1,<0.5,<0.5,<0.01,<1,32,19,<10
FY09,7/29/2008,Routine Sample,10267,Mill Creek,below West Elk Wilderness Trailhead,7.78,66.26,8.1,15.39,32,<1,<5,<2,25,96,,15,<0.03,<0.1,<0.5,<0.5,0.09,<1,<3,<10,<10
FY09,7/30/2008,Routine Sample,10125,Smith Fork,above Smith Fork Campground,7.94,141.7,7.31,20.58,52,<1,<5,<2,60,56,,15,<0.03,<0.1,<0.5,<0.5,0.02,<1,16,18,<10
FY09,7/30/2008,Routine Sample,10250,Soap Creek,at Soap Creek Campground,8.03,111.8,8,17.05,50,<1,<5,<2,48,30,,6,<0.03,<0.1,<0.5,<0.5,0.03,<1,7,<10,<10
FY09,7/30/2008,Routine Sample,10262,Beaver Creek,at Gunnison SWA at 762 Rd,7.53,56.23,9,10.21,32,<1,<5,<2,22,180,,35,<0.03,<0.1,<0.5,<0.5,0.07,<1,<3,<10,<10
FY09,7/31/2008,Routine Sample,12741,Snowmass Creek,at 8 Rd.,8.45,204.4,8.9,13.91,68,<1,<5,<2,98,<10,,3,<0.03,<0.1,<0.5,<0.5,<0.01,<1,35,11,<10
FY09,7/31/2008,Routine Sample,12771,Woody Creek,at FR 103 above Lenado,7.48,38.21,8.57,11.8,22,<1,<5,<2,16,37,,<2,<0.03,<0.1,<0.5,<0.5,0.02,<1,<3,<10,<10
FY09,7/31/2008,Routine Sample,12792,Sopris Creek,at Emma Road Bridge,8.54,413.9,8.82,13.91,150,<1,<5,3,230,32,,10,<0.03,<0.1,0.52,0.59,0.03,<1,66,25,<10
FY09,8/18/2008,Routine Sample,5254,Cherry Creek,at Franktown at Hwy 86,7.65,166.6,7.42,17.65,60,1,5,9,65,320,7100,40,<0.03,0.26,<0.5,0.68,0.42,<1,9,21,210
FY09,8/18/2008,Routine Sample,5256,Cherry Creek,at Prairie Canyon Ranch,7.08,144.2,6.6,15.01,52,<1,6,8,55,400,3200,59,<0.03,0.26,0.54,0.8,0.49,<1,8,21,31
FY09,8/18/2008,Routine Sample,5258,West Cherry Creek,at Jones Rd.,7.15,209.9,7.08,11.11,56,<1,6,18,70,660,1100,67,<0.03,<0.1,0.66,0.7,0.2,<1,14,26,<10
FY09,8/18/2008,Routine Sample,5253A,Cherry Creek,at Castle Oak Dr.,7.64,174.2,7.46,19.2,64,1,<5,10,64,200,5800,17,<0.03,0.27,<0.5,0.75,0.41,<1,10,13,180
FY09,8/18/2008,Routine Sample,EPA02-CC01,Cherry Creek,below Castlewood Canyon,7.89,151.9,8.22,16.3,58,1,<5,9,58,180,6500,10,<0.03,0.27,<0.5,0.68,0.42,<1,8,18,290
FY09,8/19/2008,Routine Sample,5252,Cherry Creek,at Bow Tie Open Space,8.04,579.2,6.3,24.11,150,3,10,46,180,200,2500,44,<0.03,0.79,<0.5,1.3,0.32,<1,72,40,68
FY09,8/19/2008,Routine Sample,5253,Cherry Creek,behind Stroh Soccer Fields,7.49,276.2,7.89,16.03,86,2,14,19,99,140,1800,100,<0.03,0.19,<0.5,0.66,0.4,<1,20,23,30
FY09,8/19/2008,Routine Sample,5252A,Cherry Creek,at Ecological Park,7.91,552.6,7.05,21.33,150,2,13,44,170,93,3400,49,<0.03,0.79,<0.5,1.3,0.38,<1,67,36,110
FY09,8/19/2008,Routine Sample,5252B,Cherry Creek,at Sulphur Gulch Trail,7.67,349,6.9,20.53,,2,,25,,,,,,,,0.53,,,,,110
FY09,9/8/2008,Routine Sample,9672,La Plata River,at 122 Rd.,8.41,299.3,7.59,19.01,120,<1,<5,3,130,40,,6,<0.03,<0.1,<0.5,<0.5,<0.01,1.1,30,<10,<10
FY09,9/8/2008,Routine Sample,9676,La Plata River,at Ridgewood Event Center,8.48,210.8,7.74,18.25,82,<1,<5,2,96,18,,<2,<0.03,<0.1,<0.5,<0.5,<0.01,<1,16,<10,<10
FY09,9/8/2008,Routine Sample,9678,La Plata River,at Hwy 140 Bridge,8.28,174.3,8.43,16.23,66,<1,<5,<2,81,70,,16,0.039,<0.1,<0.5,<0.5,<0.01,<1,16,<10,<10
FY09,9/8/2008,Routine Sample,9680,La Plata River,at Hesperus (at Hwy 160),8.26,162.5,9.08,14.08,63,<1,<5,<2,77,74,,15,<0.03,<0.1,<0.5,<0.5,0.01,<1,17,<10,<10
FY09,9/8/2008,Routine Sample,9687,La Plata River,at Mayday,7.71,144.7,8.61,7.79,50,<1,<5,<2,66,<10,,<2,<0.03,<0.1,<0.5,<0.5,<0.01,<1,19,<10,<10
FY09,9/8/2008,Routine Sample,9690,La Plata River,at La Plata,7.87,153.8,9.22,6.51,50,<1,<5,<2,70,<10,,<2,<0.03,0.14,<0.5,<0.5,<0.01,<1,24,<10,<10
FY09,9/9/2008,Routine Sample,9432,Junction Creek,at Forest Service Boundary,7.98,345.4,10.41,9.14,150,<1,<5,<2,150,<10,,<2,<0.03,<0.1,0.68,0.68,<0.01,<1,11,13,<10
FY09,9/9/2008,Routine Sample,9683,La Plata River,at Sword of Truth,8.03,147.9,9.77,9.68,52,<1,<5,<2,67,<10,,2,<0.03,<0.1,0.54,0.57,<0.01,<1,18,12,<10
FY09,9/11/2008,Routine Sample,101,San Miguel River,near Norwood,8.01,429.7,9.67,9.9,93,<1,<5,4,190,19,,10,<0.03,0.17,<0.5,0.53,0.02,<1,100,46,<10
FY09,9/11/2008,Routine Sample,9426,Animas River,nr Trimble,7.31,547.2,10,14.79,110,<1,<5,20,210,73,,210,<0.03,<0.1,<0.5,<0.5,<0.01,1.4,130,120,<10
FY09,9/11/2008,Routine Sample,10815,San Miguel River,at Society Turn,7.88,322,6.29,13.69,64,<1,<5,3,140,78,,110,<0.03,0.16,<0.5,0.52,0.01,<1,81,220,<10
FY09,9/11/2008,Routine Sample,10817,Big Bear Creek,at mm 2,8.41,391.4,13.69,8.54,120,<1,<5,3,190,17,,<2,<0.03,<0.1,<0.5,<0.5,0.01,1.2,58,18,<10
FY09,9/11/2008,Routine Sample,10871,South Fork San Miguel River,near mouth,8.13,548.9,8.1,13.1,68,<1,<5,3,280,23,,120,<0.03,<0.1,<0.5,<0.5,<0.01,1.1,240,55,<10
FY09,9/23/2008,Routine Sample,52,Eagle River,at Gypsum,8.32,881.5,12.81,9.99,140,<1,<5,45,12,48,240,6,<0.03,0.38,<0.5,0.59,0.04,<1,100,<10,<10
FY09,9/23/2008,Routine Sample,12541,Beaver Creek,at Avon,8.28,268.7,10.13,10.09,82,<1,<5,4,150,22,110,4,<0.03,<0.1,0.69,0.69,0.01,<1,42,16,<10
FY09,9/23/2008,Routine Sample,12552,Gore Creek,at mouth near Minturn,9.18,367.8,10.62,11.21,120,<1,<5,17,190,<10,30,<2,<0.03,0.43,<0.5,0.59,0.08,<1,45,22,<10
FY09,9/23/2008,Routine Sample,12553,Gore Creek,at Stephens Park in West Vail,9.07,372.8,9.68,11.08,110,<1,<5,16,190,<10,36,<2,<0.03,0.45,<0.5,0.54,0.08,<1,43,22,<10
FY09,9/23/2008,Routine Sample,12501A,Eagle River,below Milk Creek near Wolcott,8.5,805.4,12.42,9.67,110,<1,<5,120,250,160,93,27,<0.03,0.61,<0.5,0.69,0.07,<1,110,44,<10
FY09,9/23/2008,Routine Sample,12502D,Lake Creek,at Hwy 6 nr Edwards,8.29,451.6,10.21,10.78,120,<1,<5,4,270,10,40,3,<0.03,0.12,<0.5,0.61,<0.01,<1,100,28,<10
FY09,9/23/2008,Routine Sample,12502H,Eagle River,blw Lake Cr in Edwards,8.44,414.8,10.16,10.87,100,<1,<5,11,210,97,180,31,<0.03,0.41,<0.5,<0.5,0.04,<1,82,38,<10
FY09,9/23/2008,Routine Sample,12502I,Eagle River,abv Squaw Cr nr Edwards,8.28,790.7,10.7,10.42,100,<1,<5,120,220,82,310,29,<0.03,0.7,<0.5,0.96,0.12,<1,98,40,<10
FY09,9/23/2008,Routine Sample,12554B,Gore Creek,at Westhaven Ln blw Vail WWTP,8.47,329.4,9.62,10,100,<1,<5,14,190,<10,13,3,<0.03,0.57,<0.5,0.68,0.08,<1,33,20,<10
FY09,9/24/2008,Routine Sample,12515,Red Sandstone Creek,at mouth at Vail,8.44,2986,10.33,5.99,110,<1,<5,2,150,<10,<10,7,<0.03,<0.1,<0.5,<0.5,<0.01,<1,30,20,<10
FY09,9/24/2008,Routine Sample,12555,Gore Creek,abv Vail,8.46,170.3,9.22,9.45,62,<1,<5,9,72,14,<10,4,<0.03,<0.1,<0.5,<0.5,<0.01,<1,4,<10,<10
FY09,9/24/2008,Routine Sample,12502F,Eagle River,nr Benchmark Lake in Avon,8.34,321.3,10.47,7.3,96,<1,<5,8,200,190,37,69,<0.03,0.2,0.56,0.77,0.01,<1,58,54,<10
FY09,9/24/2008,Routine Sample,12502G,Eagle River,at Reserve Rd in Edwards,7.98,404.7,10.64,7.47,110,<1,<5,10,210,110,22,28,<0.03,0.55,<0.5,0.68,0.04,<1,84,46,<10
FY09,9/24/2008,Routine Sample,12554A,Gore Creek,at Forest Rd in Vail,8.59,340,10.03,7.84,110,<1,<5,17,180,<10,<10,3,<0.03,0.21,<0.5,<0.5,<0.01,<1,34,19,<10
FY09,9/24/2008,Routine Sample,12555A,Gore Creek,downstream of Pulis Bridge,8.16,198.7,8.83,9.22,72,<1,<5,11,91,12,<10,5,<0.03,0.11,<0.5,<0.5,<0.01,<1,5,11,<10
FY10,7/28/2009,Routine Sample,31,St. Vrain Creek,below Longmont,,,,,130,1,<5,31,400,54,1300,21,<0.03,1.8,<0.5,1.8,<0.01,1.8,360,11,35
FY10,7/28/2009,Routine Sample,5511,St. Vrain Creek,below Longmont WWTP,7.93,720.1,7.37,19.98,130,<1,16,30,260,100,570,18,<0.03,1.6,<0.5,1.6,0.26,1.3,180,11,<10
FY10,7/28/2009,Routine Sample,5512,St. Vrain Creek,at Hygiene Road,7.31,205.4,7.4,17.04,53,<1,26,3,85,200,750,52,<0.03,0.071,<0.5,0.071,0.12,<1,43,<10,13
FY10,7/28/2009,Routine Sample,5570,Boulder Creek,at mouth,8.94,887.6,,21.46,210,2,<5,44,310,35,250,18,<0.03,0.32,<0.5,32,0.12,1.1,170,<10,<10
FY10,7/29/2009,Routine Sample,5504,St. Vrain Creek,blw St. Vrain Valley WWTP,8.11,1012,7.16,18.72,160,,18,,370,100,2300,27,0.036,1.5,<0.5,,0.42,1.6,300,13,
FY10,7/29/2009,Routine Sample,5571,Boulder Creek,at 1650 Rd.,8.56,107,8.25,19.22,150,2,18,40,190,130,1400,23,0.037,2.1,<0.5,2.14,0.46,1.3,98,11,47
FY10,7/29/2009,Routine Sample,5572,Boulder Creek,u/s Coal Creek near Gooding,9.12,416,9.17,20.7,120,<1,12,29,170,95,450,9,<0.03,1.6,<0.5,1.6,0.54,<1,61,11,11
FY10,7/29/2009,Routine Sample,5576,Boulder Creek,u/s Boulder WTP @ 61st,7.74,171.9,6.57,16.74,40,<1,6,18,55,140,580,15,0.097,0.26,<0.5,0.36,0.04,<1,9,<10,12
FY10,8/4/2009,Routine Sample,5975,Twin Creek,above Lake George,8.21,402.4,8.31,17.74,120,1.2,<5,30,150,550,240,290,<0.03,<0.05,<0.5,,0.03,<1,15,<10,<10
FY10,8/4/2009,Routine Sample,5971A2,Trout Creek,u/s of confluence with West Cr.,8.16,293.8,8.02,15.82,97,1.1,<5,15,100,86,780,260,<0.03,0.12,<0.5,0.12,0.2,<1,11,<10,23
FY10,8/4/2009,Routine Sample,5971A3,Trout Creek,below Manitou Reservoir Lake,9.37,323.5,7.45,16.66,96,<1,7,<2,110,65,100,26,0.066,0.31,0.97,1.28,0.33,<1,<3,<10,13
FY10,8/4/2009,Routine Sample,5971A4,Trout Creek ,u/s of South Meadows CG,7.59,351.2,6.72,13.15,98,<1,<5,30,110,160,260,220,0.055,1.6,0.5,2.1,0.28,<1,9,11,<10
FY10,8/5/2009,Routine Sample,7243,Fourmile Creek,d/s of Cripple Creek confluence,7.86,536.4,8.18,16.92,110,<1,<5,14,210,370,650,92,<0.03,0.094,<0.5,0.094,0.06,<1,140,11,<10
FY10,8/5/2009,Routine Sample,7250,Cripple Creek,above Fourmile Creek,8.04,1173,8.52,13.33,120,1.9,7,170,240,140,98,31,<0.03,9.5,<0.5,9.5,0.5,<1,130,21,<10
FY10,8/5/2009,Routine Sample,7252,Cripple Creek,below Arequa Gulch,7.94,1211,8.32,11.25,110,1.5,8,200,240,56,97,44,<0.03,11.4,<0.5,11.4,0.19,<1,100,26,<10
